admin0Name_en,admin0Pcode,admin1Name_en,admin1Pcode,admin2Name_en,admin2RefName_en,admin2Pcode,admin2OldPcode
Yemen,YE,Ibb,YE11,Al Dhihar,Al Dhihar,YE1119,YE1119
Yemen,YE,Ibb,YE11,Al Makhadir,Al Makhadir,YE1107,YE1107
Yemen,YE,Ibb,YE11,Al Mashannah,Al Mashannah,YE1118,YE1118
Yemen,YE,Ibb,YE11,Al Qafr,Al Qafr,YE1101,YE1101
Yemen,YE,Ibb,YE11,Al Udayn,Al Udayn,YE1111,YE1111
Yemen,YE,Ibb,YE11,An Nadirah,An Nadirah,YE1104,YE1104
Yemen,YE,Ibb,YE11,Ar Radmah,Ar Radmah,YE1103,YE1103
Yemen,YE,Ibb,YE11,As Sabrah,As Sabrah,YE1114,YE1114
Yemen,YE,Ibb,YE11,As Saddah,As Saddah,YE1106,YE1106
Yemen,YE,Ibb,YE11,As Sayyani,As Sayyani,YE1115,YE1115
Yemen,YE,Ibb,YE11,Ash Sha'ir,Ash Shair,YE1105,YE1105
Yemen,YE,Ibb,YE11,Ba'dan,Badan,YE1113,YE1113
Yemen,YE,Ibb,YE11,Dhi As Sufal,Dhi As Sufal,YE1116,YE1116
Yemen,YE,Ibb,YE11,Far Al Udayn,Far Al Udayn,YE1110,YE1110
Yemen,YE,Ibb,YE11,Hazm Al Udayn,Hazm Al Udayn,YE1109,YE1109
Yemen,YE,Ibb,YE11,Hubaysh,Hubaysh,YE1108,YE1108
Yemen,YE,Ibb,YE11,Ibb,Ibb,YE1120,YE1120
Yemen,YE,Ibb,YE11,Jiblah,Jiblah,YE1112,YE1112
Yemen,YE,Ibb,YE11,Mudhaykhirah,Mudhaykhirah,YE1117,YE1117
Yemen,YE,Ibb,YE11,Yarim,Yarim,YE1102,YE1102
Yemen,YE,Abyan,YE12,Ahwar,Ahwar,YE1209,YE1209
Yemen,YE,Abyan,YE12,Al Mahfad,Al Mahfad,YE1201,YE1201
Yemen,YE,Abyan,YE12,Al Wade'a,Al Wadea,YE1208,YE1208
Yemen,YE,Abyan,YE12,Jayshan,Jayshan,YE1203,YE1203
Yemen,YE,Abyan,YE12,Khanfir,Khanfir,YE1211,YE1211
Yemen,YE,Abyan,YE12,Lawdar,Lawdar,YE1204,YE1204
Yemen,YE,Abyan,YE12,Mudiyah,Mudiyah,YE1202,YE1202
Yemen,YE,Abyan,YE12,Rasad,Rasad,YE1206,YE1206
Yemen,YE,Abyan,YE12,Sarar,Sarar,YE1207,YE1207
Yemen,YE,Abyan,YE12,Sibah,Sibah,YE1205,YE1205
Yemen,YE,Abyan,YE12,Zingibar,Zingibar,YE1210,YE1210
Yemen,YE,Sana'a City,YE13,Al Wahdah,Al Wahdah,YE1306,YE1306
Yemen,YE,Sana'a City,YE13,As Sabain,As Sabain,YE1305,YE1305
Yemen,YE,Sana'a City,YE13,Assafi'yah,Assafiyah,YE1304,YE1304
Yemen,YE,Sana'a City,YE13,At Tahrir,At Tahrir,YE1307,YE1307
Yemen,YE,Sana'a City,YE13,Ath'thaorah,Aththaorah,YE1309,YE1309
Yemen,YE,Sana'a City,YE13,Az'zal,Azzal,YE1303,YE1303
Yemen,YE,Sana'a City,YE13,Bani Al Harith,Bani Al Harith,YE1310,YE1310
Yemen,YE,Sana'a City,YE13,Ma'ain,Maain,YE1308,YE1308
Yemen,YE,Sana'a City,YE13,Old City,Old City,YE1301,YE1301
Yemen,YE,Sana'a City,YE13,Shu'aub,Shuaub,YE1302,YE1302
Yemen,YE,Sana'a City,YE13,Sana'a City Outskirts - Hamdan,Sana'a City Outskirts - Hamdan,YE1319,YE1319
Yemen,YE,Sana'a City,YE13,Sana'a City Outskirts -Sanhan wa Bani Bahlul,Sana'a City Outskirts -Sanhan wa Bani Bahlul,YE1324,YE1324
Yemen,YE,Al Bayda,YE14,Al A'rsh,Al Arsh,YE1416,YE1416
Yemen,YE,Al Bayda,YE14,Al Bayda,Al Bayda,YE1410,YE1410
Yemen,YE,Al Bayda,YE14,Al Bayda City,Al Bayda City,YE1409,YE1409
Yemen,YE,Al Bayda,YE14,Al Malagim,Al Malagim,YE1420,YE1420
Yemen,YE,Al Bayda,YE14,Al Quraishyah,Al Quraishyah,YE1414,YE1414
Yemen,YE,Al Bayda,YE14,Ar Ryashyyah,Ar Ryashyyah,YE1418,YE1418
Yemen,YE,Al Bayda,YE14,As Sawadiyah,As Sawadiyah,YE1411,YE1411
Yemen,YE,Al Bayda,YE14,As Sawma'ah,As Sawmaah,YE1404,YE1404
Yemen,YE,Al Bayda,YE14,Ash Sharyah,Ash Sharyah,YE1419,YE1419
